time/s	Ewe/V	<I>/mA	
0.000000000000000E+000	2.9077559E+000	0.000000000000000E+000
1.000000047497451E+000	2.9078348E+000	0.000000000000000E+000
2.000000094994903E+000	2.9079528E+000	0.000000000000000E+000
3.000000142492354E+000	2.9079528E+000	0.000000000000000E+000
4.000000189989805E+000	2.9080315E+000	0.000000000000000E+000
5.000000237487257E+000	2.9081497E+000	0.000000000000000E+000
6.000000284984708E+000	2.9081497E+000	0.000000000000000E+000
7.000000332482159E+000	2.9081891E+000	0.000000000000000E+000
8.000000379979610E+000	2.9082677E+000	0.000000000000000E+000
9.000000427477062E+000	2.9082284E+000	0.000000000000000E+000
1.001000047544949E+001	2.7958920E+000	-2.176207637343837E-002
1.001200047554448E+001	2.7943170E+000	-1.098787732386799E+001
2.501200118800625E+001	2.7193868E+000	-1.099129617644812E+001
4.001200190046802E+001	2.6931236E+000	-1.099123234219720E+001
5.501200261292979E+001	2.6736331E+000	-1.099114826779934E+001
7.001200332539156E+001	2.6581194E+000	-1.099118426111937E+001
8.501200403785333E+001	2.6449289E+000	-1.099130169440745E+001
1.000120047503151E+002	2.6336284E+000	-1.099115982429700E+001
1.150120054627769E+002	2.6235483E+000	-1.099109913704403E+001
1.300120061752386E+002	2.6145709E+000	-1.099131324848914E+001
1.450120068877004E+002	2.6064990E+000	-1.099133348761883E+001
1.600120076001622E+002	2.5991359E+000	-1.099130038431331E+001
1.750120083126239E+002	2.5924816E+000	-1.099128881103099E+001
1.900120090250857E+002	2.5862210E+000	-1.099136107118482E+001
2.050120097375475E+002	2.5805509E+000	-1.099140021887787E+001
2.200120104500093E+002	2.5752354E+000	-1.099141045549034E+001
2.350120111624710E+002	2.5703135E+000	-1.099146458324452E+001
2.500120118749328E+002	2.5657067E+000	-1.099137551502671E+001
2.650120125873946E+002	2.5611787E+000	-1.099140205743471E+001
2.800120132998563E+002	2.5570049E+000	-1.099139811202067E+001
2.950120140123181E+002	2.5530281E+000	-1.099132271872896E+001
3.100120147247799E+002	2.5492480E+000	-1.099127253079393E+001
3.250120154372416E+002	2.5454681E+000	-1.099121946975620E+001
3.400120161497034E+002	2.5419242E+000	-1.099135160984596E+001
3.550120168621652E+002	2.5383413E+000	-1.099139995451936E+001
3.700120175746270E+002	2.5351517E+000	-1.099150950791483E+001
3.850120182870887E+002	2.5318444E+000	-1.099145827131957E+001
4.000120189995505E+002	2.5287731E+000	-1.099161958532253E+001
4.150120197120123E+002	2.5258987E+000	-1.099151213407946E+001
4.300120204244740E+002	2.5229456E+000	-1.099136081089533E+001
4.450120211369358E+002	2.5200713E+000	-1.099115273480963E+001
4.600120218493976E+002	2.5173545E+000	-1.099130537991346E+001
4.750120225618593E+002	2.5145981E+000	-1.099130563219209E+001
4.900120232743211E+002	2.5119994E+000	-1.099127332221642E+001
5.050120239867829E+002	2.5094399E+000	-1.099144723985138E+001
5.200120246992446E+002	2.5068018E+000	-1.099137603929324E+001
5.350120254117064E+002	2.5044000E+000	-1.099149741608801E+001
5.500120261241682E+002	2.5018406E+000	-1.099153734948150E+001
5.650120268366300E+002	2.4993994E+000	-1.099160381778075E+001
5.800120275490917E+002	2.4968796E+000	-1.099145485691137E+001
5.950120282615535E+002	2.4945171E+000	-1.099168999509396E+001
6.100120289740153E+002	2.4922726E+000	-1.099160066747675E+001
6.250120296864770E+002	2.4899495E+000	-1.099145301988041E+001
6.400120303989388E+002	2.4877839E+000	-1.099134530389736E+001
6.550120311114006E+002	2.4854608E+000	-1.099153261887565E+001
6.700120318238623E+002	2.4833345E+000	-1.099126070828472E+001
6.850120325363241E+002	2.4811296E+000	-1.099131562123072E+001
7.000120332487859E+002	2.4790821E+000	-1.099123916834332E+001
7.150120339612477E+002	2.4771132E+000	-1.099113250102051E+001
7.300120346737094E+002	2.4750264E+000	-1.099119109591213E+001
7.450120353861712E+002	2.4731364E+000	-1.099112042305376E+001
