Potential vs. Li,I,Current density
3.23298835754395,-2.4205593945E-5,-1.82364020204592E-5
3.23400592803955,4.0393830738E-5,3.04325577863671E-5
3.23596382141113,8.0873372277E-5,6.09296897628194E-5
3.23801350593567,1.02431497847E-4,7.71714992220444E-5
3.23996043205261,1.18972335809E-4,8.96333033618521E-5
3.24193286895752,1.32529418259E-4,9.98471574959202E-5
3.24395799636841,1.43424495793E-4,1.0805546729429E-4
3.24594831466675,1.54025150463E-4,1.16041960031524E-4
3.24796509742737,1.6364567571E-4,1.23290027005254E-4
3.24997282028198,1.73025295732E-4,1.3035659690265E-4
3.25199294090271,1.81033949823E-4,1.36390286304287E-4
3.25394439697266,1.89619079601E-4,1.42858290286555E-4
3.25594019889832,1.96338983595E-4,1.47921040287729E-4
3.2579984664917,2.05330038986E-4,1.54694867076324E-4
3.25997853279114,2.12108451037E-4,1.5980169682416E-4
3.26200246810913,2.19021761918E-4,1.65010158835247E-4
3.26395010948181,2.25211704761E-4,1.69673638129542E-4
3.26597142219544,2.33127193499E-4,1.75637137110091E-4
3.267982006073,2.38750786741E-4,1.79873930778268E-4
3.27003192901611,2.46605142925E-4,1.8579137272614E-4
3.27197742462158,2.51636337542E-4,1.89581855533018E-4
3.27398490905762,2.58890963008E-4,1.9504746264873E-4
3.27598476409912,2.67833327558E-4,2.01784605943699E-4
3.27806186676025,2.73688513586E-4,2.06195880732238E-4
3.28010630607605,2.80018644822E-4,2.10964977426344E-4
3.28209662437439,2.85686955978E-4,2.1523546140012E-4
3.28407740592957,2.91444897622E-4,2.19573472641196E-4
3.28609848022461,2.97016201645E-4,2.23770871811507E-4
3.28810238838196,3.03365124148E-4,2.28554125774394E-4
3.29007911682129,3.08803128507E-4,2.3265109748701E-4
3.29206323623657,3.1524530095E-4,2.37504605598507E-4
3.29402685165405,3.20735502459E-4,2.41640902444557E-4
3.2961061000824,3.27734892763E-4,2.46914216364136E-4
3.2980740070343,3.3329185726E-4,2.51100812190331E-4
3.30011463165283,3.38838968977E-4,2.55279984969709E-4
3.30208253860474,3.44628442069E-4,2.59641751883267E-4
3.30411005020142,3.50536016295E-4,2.64092495740073E-4
3.30613398551941,3.56431027352E-4,2.68533774553341E-4
3.30810117721558,3.62653636631E-4,2.73221864615743E-4
3.31011486053467,3.67820845369E-4,2.77114819941851E-4
3.3121178150177,3.73995838371E-4,2.8176703608304E-4
3.3141016960144,3.79460140561E-4,2.85883820481082E-4
3.31606674194336,3.85206629883E-4,2.90213203586507E-4
3.31809711456299,3.91601610645E-4,2.95031157665797E-4
3.32007265090942,3.96636744448E-4,2.9882460824036E-4
3.32203435897827,4.04010702458E-4,3.0438012003891E-4
3.3240704536438,4.10063367572E-4,3.08940174816533E-4
3.32609915733337,4.15593117062E-4,3.13106266960407E-4
3.32810187339783,4.23489314205E-4,3.19055231726971E-4
3.33007645606995,4.28496694939E-4,3.22827773245358E-4
3.3320779800415,4.35401656524E-4,3.2802994492873E-4
3.33412075042725,4.42148821296E-4,3.33113233095922E-4
3.33611226081848,4.47861208869E-4,3.37416924073908E-4
3.33809804916382,4.54264561787E-4,3.42241185703549E-4
3.34011173248291,4.60694362725E-4,3.47085373170435E-4
3.34210085868835,4.66117258981E-4,3.51170962495959E-4
3.34412670135498,4.74743106788E-4,3.57669643285746E-4
3.34609341621399,4.80597015568E-4,3.6207995580052E-4
3.34814810752869,4.87244546055E-4,3.67088179877964E-4
3.35005140304565,4.94383338231E-4,3.72466518635437E-4
3.3521249294281,5.01014600567E-4,3.77462486350057E-4
3.35410261154175,5.09450336338E-4,3.83817937458089E-4
3.35614252090454,5.15947076553E-4,3.8871255672058E-4
3.35809326171875,5.22103906328E-4,3.93351088755925E-4
3.36009025573731,5.32447054249E-4,4.01143576892056E-4
3.36209559440613,5.38509211999E-4,4.05710783385384E-4
3.36411118507385,5.4608046331E-4,4.11414935203308E-4
3.36607623100281,5.53834439833E-4,4.17256751498002E-4
3.36810755729675,5.61507627132E-4,4.23037701499923E-4
3.37009406089783,5.71270117922E-4,4.30392724771485E-4
3.37210536003113,5.79060930611E-4,4.3626229329294E-4
3.37408518791199,5.86672903251E-4,4.41997124404591E-4
3.37607860565186,5.95964600725E-4,4.48997453790161E-4
3.37807726860046,6.04252665315E-4,4.55241649994485E-4
3.38009309768677,6.14606653652E-4,4.63042305258624E-4
3.3820219039917,6.24213955403E-4,4.70280409700977E-4
3.38410472869873,6.32859411415E-4,4.76793863237513E-4
3.38610339164734,6.4378080324E-4,4.8502199812221E-4
3.38806509971619,6.53931812168E-4,4.92669729474926E-4
3.39007163047791,6.63897305702E-4,5.00177694238412E-4
3.39208388328552,6.74358289449E-4,5.08058959435756E-4
3.39413046836853,6.85845087142E-4,5.16713068941733E-4
3.39609003067017,6.97095077544E-4,5.25188768739199E-4
3.39807915687561,7.09578569399E-4,5.3459378381977E-4
3.40009498596191,7.20309302253E-4,5.42678276963972E-4
3.40208649635315,7.33824495226E-4,5.52860571726073E-4
3.40408849716187,7.46240136646E-4,5.62214468548082E-4
3.40616035461426,7.60045563637E-4,5.72615424510742E-4
3.40812754631043,7.74007325294E-4,5.83134162413618E-4
3.41010856628418,7.87539355149E-4,5.93329142018306E-4
3.41212892532349,8.03531918879E-4,6.05377878445958E-4
3.41415548324585,8.19158658114E-4,6.17151004096412E-4
3.41613745689392,8.34335265022E-4,6.28585001771067E-4
3.41807270050049,8.50199188904E-4,6.405368214286E-4
3.42011404037476,8.67894695349E-4,6.53868548393032E-4
3.42209458351135,8.86100306309E-4,6.67584586150627E-4
3.42409753799439,9.07124212097E-4,6.83423916466644E-4
3.42612075805664,9.26536900286E-4,6.98049361597915E-4
3.4281051158905,9.47292033073E-4,7.13686199361606E-4
3.43014931678772,9.71178517085E-4,7.31682185177441E-4
3.43211483955383,9.93653561749E-4,7.48614797979746E-4
3.43409061431885,0.001018558965554,7.67378434075677E-4
3.43604731559754,0.001044172051377,7.86675235100848E-4
3.43811988830566,0.001071849114656,8.07527028857629E-4
3.44011044502258,0.001101541205598,8.29896936758947E-4
3.44209408760071,0.001130593700604,8.51784975525136E-4
3.4440815448761,0.00116353143411,8.76600138136845E-4
3.44606423377991,0.00119973322201,9.03874426861339E-4
3.44809579849243,0.001234310599704,9.29924891141365E-4
3.45010876655579,0.001275903239523,9.61260627110286E-4
3.45210123062134,0.001318543865867,9.93385912124166E-4
3.45414471626282,0.001362914244353,0.00102681438579472
3.45611906051636,0.001413396942736,0.00106484785792855
3.45811724662781,0.001464546505617,0.00110338374322797
3.46010160446167,0.001520019252898,0.00114517669914114
3.46212387084961,0.001580917758506,0.0011910574006532
3.46411299705506,0.001643840615056,0.00123846324043259
3.46618604660034,0.001715172750068,0.00129220459848446
3.46812415122986,0.001787278430523,0.00134652874271839
3.47015404701233,0.001866104727147,0.00140591617350342
3.47214317321777,0.001954539362323,0.00147254248985272
3.47408151626587,0.002047629871619,0.00154267652398006
3.47611093521118,0.00214861470979,0.00161875811532798
3.4781289100647,0.0022603528665,0.00170294121578892
3.48011445999146,0.00237646713931,0.00179042126540422
3.4820830821991,0.002506852867765,0.00188865337519003
3.48412108421326,0.002647459474146,0.00199458585536476
3.48614454269409,0.002799123758632,0.00210884914798697
3.48815083503723,0.002966673716445,0.00223508064621551
3.49007725715637,0.003144823102028,0.0023692977128395
3.49209189414978,0.003340699066191,0.00251686991605575
3.49405074119568,0.003550431405459,0.00267488145934914
3.49610233306885,0.003780657378917,0.00284833282836208
3.49809122085571,0.004036414457135,0.00304101923418047
3.50006747245789,0.004310246297223,0.00324732309655185
3.50212740898132,0.004612065312594,0.0034747123898793
3.5041344165802,0.004970991393043,0.00374512592790561
3.5060818195343,0.00529577496557,0.00398981663087705
3.50813031196594,0.005686158377963,0.00428393000263292
3.51014161109924,0.006110998210793,0.00460400270993342
3.51213097572327,0.006568651521277,0.00494879696596134
3.51411271095276,0.007077094279615,0.00533185579800286
3.51609444618225,0.007622572960895,0.00574281735292338
3.51810932159424,0.008215227510663,0.00618932102696588
3.52005481719971,0.008854440951744,0.00667090199188338
3.52207112312317,0.009549483920299,0.00719454470954867
3.52408623695374,0.010314278200035,0.00777073779862981
3.52613830566406,0.011140285085801,0.00839304823128118
3.52810001373291,0.012019519047561,0.00905545973967585
3.53007531166077,0.012983081517746,0.00978140402420972
3.53206920623779,0.014010095262072,0.0105551522563176
3.53412175178528,0.015118333119875,0.0113900944252687
3.53616642951965,0.016301923879911,0.012281807182938
3.53814387321472,0.017550337971397,0.013222357590917
3.5400915145874,0.01888160227898,0.014225327035242
3.54210352897644,0.020288098473825,0.0152849758960681
3.54412007331848,0.021763311916135,0.0163963960686563
3.54607844352722,0.023298320712152,0.0175528658323279
3.5480945110321,0.024901626933805,0.0187607906155993
3.55010795593262,0.026563095199435,0.0200125344606423
3.5521399974823,0.028281601366787,0.0213072504429759
3.55410361289978,0.030010751689253,0.0226099856911151
3.55609679222107,0.031782821134562,0.0239450560424668
3.5581169128418,0.03357284009707,0.0252936494915147
3.56003594398499,0.03535820300343,0.0266387350856454
3.56215214729309,0.037153883115018,0.0279915936227864
3.56415557861328,0.038931649141671,0.0293309557567635
3.5661313533783,0.040708694339787,0.0306697748212741
3.56812930107117,0.042488628508556,0.0320107704252398
3.5701630115509,0.044223592675014,0.0333178858012356
3.57209944725037,0.045953258854958,0.0346210096944283
3.57413053512573,0.047706914633438,0.0359422072595254
3.57611012458801,0.049446157373552,0.0372525460965707
3.57812333106995,0.051226927377395,0.0385941714154885
3.58012008666992,0.052987726931897,0.0399207510741536
3.58213782310486,0.054761987137749,0.0412574719361304
3.58414816856384,0.05661935042933,0.0426568023454679
3.58615112304688,0.058407428484852,0.0440039335226062
3.58817577362061,0.060270812994013,0.0454078002942694
3.59012413024902,0.062159450802734,0.0468306928053614
3.59205627441406,0.064067902262114,0.0482685128451781
3.59412908554077,0.065923341499649,0.0496663936795466
3.59609317779541,0.067968931923172,0.0512075336911212
3.5980920791626,0.07004675868875,0.0527729604396674
3.60011720657349,0.072233336272717,0.0544203196393941
3.60211539268494,0.074440858991422,0.0560834588236288
3.60408520698547,0.07675152488253,0.0578243056799775
3.6060893535614,0.07912550125854,0.0596128504138254
3.60811185836792,0.08156709675545,0.0614523391350758
3.61009311676025,0.084172352773332,0.0634151290676951
3.61204886436462,0.08683283658249,0.0654195274073091
3.61408472061157,0.089597227276244,0.0675022087968863
3.61607193946838,0.09254039577483,0.0697195807017493
3.6181001663208,0.095537178417144,0.071977345297708
3.62011694908142,0.09872349888514,0.0743779069675609
3.6220850944519,0.101985718383553,0.0768356506770198
3.62412571907044,0.105425111968312,0.0794268766663829
3.62611293792725,0.109152053638798,0.0822347402851901
3.62811994552612,0.113030339857078,0.085156626308217
3.63009262084961,0.117119992960315,0.0882377553350159
3.63213539123535,0.121493146169566,0.0915324722588052
3.63410258293152,0.126047252603703,0.0949635186510396
3.63612842559815,0.131059868761714,0.0987400045178786
3.63813400268555,0.1363432285368,0.102720467591667
3.64017415046692,0.141890024701892,0.106899402635443
3.64215278625488,0.148052319694296,0.111542052144704
3.64410138130188,0.154489236114786,0.116391600388919
3.64613103866577,0.161459713041906,0.121643131080797
3.64811301231384,0.168928990721186,0.127270456354091
3.65013313293457,0.17702782198593,0.133372084893978
3.65214586257935,0.185859207725697,0.140025617177222
3.65412712097168,0.195234472927534,0.147088906169741
3.65610504150391,0.204820392550793,0.154310901398727
3.65808796882629,0.214863157852156,0.161877082416591
3.66009426116943,0.2233664954474,0.168283464480791
3.6621322631836,0.233263817336032,0.175740068987051
3.66412878036499,0.24324445654859,0.183259444446911
3.66609358787537,0.252652314938072,0.190347289022506
3.6681022644043,0.261911265627203,0.197322947105438
3.67010545730591,0.270683245699426,0.203931723385665
3.67209219932556,0.278914534352686,0.210133144816115
3.67408323287964,0.2867445141125,0.216032221659115
3.67607855796814,0.294565268913512,0.221924348453391
3.67812705039978,0.301955220285357,0.227491909589665
3.68009781837463,0.309171237483467,0.23292842938382
3.68211054801941,0.315611503746546,0.237780501386646
3.6840991973877,0.321978442280391,0.242577328558356
3.68610119819641,0.32809897712721,0.247188516133445
3.6881217956543,0.333622012545418,0.251349549921276
3.69011330604553,0.339172291328796,0.255531108756366
3.6921546459198,0.34418132365832,0.259304894580512
3.69410300254822,0.348874825748827,0.262840961127808
3.69619083404541,0.353389594695362,0.26624237080714
3.69812273979187,0.35716427361533,0.269086199487366
3.70015835762024,0.360835695524025,0.271852234729707
3.70217728614807,0.364328689068192,0.274483842723753
3.70415616035461,0.367227709262639,0.276667953464911
3.70613741874695,0.370270092825388,0.278960073620144
3.708167552948,0.372567956810993,0.280691275569786
